"Id","Nombre por defecto","Nombre Español (🇪🇸)","Nombre English (🇬🇧)","Nombre Française (🇫🇷)","Nombre Deutsch (🇩🇪)","Nombre Italiano (🇮🇹)","Nombre Português (🇵🇹)","Nombre Netherlands (🇳🇱)","Nombre Catalán (🇪)","Nombre Chino (🇨)"
"2f12ee15-4f30-4890-8946-b2a0bb2db4c8","lomo embuchado","lomo embuchado","stuffed loin","","gefüllte Lende","","","","llom embotit",""
"7069939f-ec64-4829-9f25-48373d2c8095","Mantequilla","Mantequilla","Butter","","Butter","","","","Mantega",""
"ec176a96-fc5e-447e-b084-a2399924d2d7","Mermelada fresa","","","","","","","","",""
"9f518212-9e3f-4c93-bf9c-d2892f424d5f","Naranja","","","","","","","","",""
"5d0ce28c-8806-48f9-b685-14603b0cb0c9","Nata","Nata","Cream","","Creme","","","","Nata",""
"135f6877-a09f-4961-a764-00ee8c7d1174","Nutella","Nutella","Nutella","","Nutella","","","","Nutella",""
"8fc12133-ece1-4343-85d1-7deda48cddc0","Nutella","","","","","","","","",""
"02a27675-5e72-4ffe-96a2-323290860928","Nutella","","","","","","","","",""
"5cf76769-239c-4232-b0ce-7ec9ef75c3e5","Pequeño","Pequeño","Little","","Wenig","","","","Petit",""
"8be651e0-4a72-4eca-890e-cf666d37536c","Picante","","","","","","","","",""
"934a8e49-b18a-43b3-8ac5-30e4ef80a9bf","Pistacho","","","","","","","","",""
"441996fc-53ec-47ed-bcee-3f21c0794314","Pollo","Pollo","Chicken","","Huhn","","","","Pollastre",""
"4482aea9-c677-4816-9171-a9582e9ad2dc","Queso","","","","","","","","",""
"f39223bb-e26c-4e88-9ec1-8add17a85df8","Queso","","","","","","","","",""
"95f75ea5-68cd-42fd-8c7a-bf4e0c7c294d","Queso","Queso","Cheese","","Käse","","","","Formatge",""
"2dc206e0-c822-41d4-bab8-e8e5b066de49","Quesos","Quesos","Cheeses","","Käse","","","","Formatges",""
"eaa3a882-822a-4b5d-9b6f-48e905d5c088","Red Label","Red Label","Red Label","","Rotes Etikett","","","","Xarxa Label",""
"d7a43849-5ba0-457c-80a2-cc10a6ddce78","Salmon","","","","","","","","",""
"b50f1e07-ec35-491d-a3e7-1e670ed84aeb","Sin gluten ","","","","","","","","",""
"67a36d9a-f426-4c96-bf1a-f0f9e43e2545","Tarta de zanahoria","","","","","","","","",""
"0230cb72-538a-4283-952f-b863da668fa6","Vainilla","","","","","","","","",""
"68512364-2024-472f-8caa-1cfa0a8e1845","Weasley","","","","","","","","",""
"0192e0c0-2ba7-46da-bdf2-1d7716d86191","Yogur","","","","","","","","",""
"2954fd8d-429c-46b2-9675-4051a451ac08","York","York","york","","York","","","","York",""
"5ef90074-53b9-4b42-8ded-d964041742fe","York","York","york","","York","","","","York",""
"a9a221c8-ffd0-4419-b610-cab6a1dc70cf","York","","","","","","","","",""
"e6a3441f-bcda-4b1d-8964-029c23839462","Almendra","Almendra","Almond","","Mandel","","","","Ametlla",""
"a13e5b10-7a74-4159-ae85-a9989027e345","Atun","","","","","","","","",""
"4f9a5e02-99dd-48fb-971a-b3a3b5eb7966","Atun","","","","","","","","",""
"07749c55-202d-49fa-b43b-de8b1b30a3aa","Avada kadabra","","","","","","","","",""
"427b1f8f-149d-446a-9e81-d913d36d3ae6","Avellana","","","","","","","","",""
"169d2c58-bf15-41a7-90c5-ffad42e2dde4","Avellana","Avellana","Hazelnut","","Haselnuss","","","","Avellana",""
"e2872aef-cd4b-4842-a5c1-69e52187b11f","Avellana","","","","","","","","",""
"a0471630-44f0-4a26-a437-71d67a6645b9","Avellana","Avellana","Hazelnut","","Haselnuss","","","","Avellana",""
"4a252cde-9d57-4d4c-affc-02fb479ddad5","Avellana","Avellana","Hazelnut","","Haselnuss","","","","Avellana",""
"df130732-6b7e-49e2-8ce2-5b55d0febdc5","Avellana","Avellana","Hazelnut","","Haselnuss","","","","Avellana",""
"7e05c059-381d-403f-ad78-dce3610c9cd0","Avellana","","","","","","","","",""
"f17a2b1f-ab22-4972-bd49-0062c9ecb621","Avellana","","","","","","","","",""
"ed59604f-2df9-463b-8dfc-cac1c4dcedd3","Avellana","","","","","","","","",""
"9877b614-a4ff-4bf2-8ed5-f5b916d56f9f","Avellana","","","","","","","","",""
"f465740e-e314-4aa5-9556-5b9c21796261","Avellana","","","","","","","","",""
"96815e31-4bce-4bd9-9880-948e7bdaef94","Avellana","","","","","","","","",""
"1acdc4c3-e898-4ff7-82a3-acf3f29d2f66","Avellana","","","","","","","","",""
"3d8d12e7-3060-4d91-8001-11d93cfa447d","Avellana","Avellana","Hazelnut","","Haselnuss","","","","Avellana",""
"aa15f298-13e0-4832-9a25-1aee0db12286","Avellanas","","","","","","","","",""
"b82ea87b-1236-4327-a08d-c12a9152b17a","Capuccino","","","","","","","","",""
"133071a3-42af-42d4-9c8a-d7af8d0b3b74","Caramelo","","","","","","","","",""
"de3ba274-c4e8-4306-8e7a-dfc9d972870b","Caramelo","","","","","","","","",""
"e8357fcc-6ee4-464f-a3e7-9e7493e7330d","Crema de cacahuete","Crema de cacahuete","peanut butter","","Erdnussbutter","","","","Crema de cacauet",""
"d90ba038-9d0c-4551-96aa-6f17decdd13f","Dulce de leche","Dulce de leche","Caramel sauce","","Karamellsauce","","","","Dolç de llet",""
"e0edc3aa-b5cb-480c-a6e4-5c891d6c9994","Fruta","Fruta","Fruit","","Obst","","","","Fruita",""
"3acde5e2-86cb-4064-ba88-6688f5a149ea","Fruta","Fruta","Fruit","","Obst","","","","Fruita",""
"fc32a408-23a7-43c4-876b-43870f1240f8","Iberico","","","","","","","","",""
"7c1f15ba-4256-4639-b706-dc9153f3a399","Jalapeños","Jalapeños","Jalapenos","","Jalapenos","","","","Jalapenys",""
"74efa2da-871d-42af-bcf7-21781576ee94","Jamón y queso","","","","","","","","",""
"85ad84f1-4442-4135-87c6-c6e857a2b23a","Mandangus","","","","","","","","",""
"24635e26-ef04-46f1-a753-5f5577732e08","mejillones","","","","","","","","",""
"5c27f385-815f-4542-a106-c9bb27bf97d9","mejillones","mejillones","mussels","","Miesmuscheln","","","","musclos",""
"2fd66aef-2c3a-423d-8e3f-4f1a7c5215f8","Melocotón ","","","","","","","","",""
"3e54477f-0c5d-4ffe-a2c8-a13f3146b8e6","Pistacho","","","","","","","","",""
"c2b90a5b-b57c-4287-9ca8-f7d531b50671","Queso","Queso","Cheese","","Käse","","","","Formatge",""
"fccb8a31-7bed-40a4-871c-c495d3f51056","Queso","","","","","","","","",""
"48d726f3-93d4-4d0d-9fa3-d654c3905080","Queso","","","","","","","","",""
